,_runtime,_step,_timestamp,actor_grad_norm,actor_grad_norm_clipped,encoder_grad_norm,encoder_grad_norm_clipped,global_grad_norm,planner_grad_norm,planner_grad_norm_clipped,test,test2,train_act_with_enc_loss,train_act_with_plan_loss,train_loss,train_reg_loss,valid_act_with_enc_loss,valid_act_with_plan_loss,valid_gripper_loss,valid_loss,valid_max_position_loss,valid_max_rotation_loss,valid_position_loss,valid_reg_loss,valid_rotation_loss,z_enc,z_plan
0,1233,440,1612624679,0.042806707322597504,0.042806707322597504,0.0059479400515556335,0.0059479400515556335,0.043331507593393326,0.0024536349810659885,0.02453634701669216,0,0,0.003923344891518354,0.0057046846486628056,0.00415721395984292,0.7795618772506714,0.0038659456185996532,0.0053053926676511765,0.01782393455505371,0.005503951571881771,0.7624824047088623,3.439436435699463,0.002089464571326971,0.6618633270263672,0.00434847129508853,,
1,1680,660,1612625126,0.03635092079639435,0.03635092079639435,0.004485659301280975,0.004485659301280975,0.036695364862680435,0.0018861833959817886,0.018861832097172737,0,0,0.0033917748369276524,0.005339518655091524,0.003602476790547371,0.7023400068283081,0.003354448825120926,0.005008259788155556,0.01806788519024849,0.005191972013562918,0.6777151823043823,4.061826705932617,0.0015551928663626313,0.6123735904693604,0.004108116962015629,,
2,1921,780,1612625367,0.03907563164830208,0.03907563164830208,0.004622403532266617,0.004622403532266617,0.03944132477045059,0.002056389581412077,0.020563896745443344,0,0,0.00339197413995862,0.0053648073226213455,0.0036055713426321745,0.7119916677474976,0.003496771678328514,0.005082836374640465,0.018558766692876816,0.005286547355353832,0.6395490169525146,3.900390148162842,0.0015648542903363705,0.6790382862091064,0.00410883966833353,,
3,2168,900,1612625614,0.030118996277451515,0.030118996277451515,0.004151036497205496,0.004151036497205496,0.030568018555641174,0.0027648950926959515,0.027648955583572388,0,0,0.0031181112863123417,0.005087890662252903,0.003325109602883458,0.6899934411048889,0.0030861650593578815,0.004750038497149944,0.017434580251574516,0.004928169306367636,0.6373878717422485,3.951364040374756,0.0013266082387417555,0.5937698483467102,0.003945287317037582,,
4,3281,1440,1612626727,0.024595852941274643,0.024595852941274643,0.002876023529097438,0.002876023529097438,0.02482929639518261,0.0016279134433716536,0.016279133036732674,0,0,0.002757434034720063,0.005149179138243198,0.002972759772092104,0.7177524566650391,0.002758591901510954,0.004565893672406673,0.017064401879906654,0.00475712027400732,0.6342375874519348,3.5095648765563965,0.0011691153049468994,0.6374213695526123,0.003796503646299243,,
5,3488,1540,1612626934,0.024400999769568443,0.024400999769568443,0.003038317896425724,0.003038317896425724,0.024666067212820053,0.0017204309115186334,0.01720430701971054,0,0,0.0027704457752406597,0.005067923106253147,0.002977706491947174,0.6908692121505737,0.0027899015694856644,0.0045823450200259686,0.017092391848564148,0.004770225845277309,0.5855326056480408,3.6072216033935547,0.0012410312192514539,0.6262702941894531,0.0037536416202783585,,
6,3859,1720,1612627305,0.029912423342466354,0.029912423342466354,0.004977711476385593,0.004977711476385593,0.03043702244758606,0.0019843047484755516,0.019843047484755516,0,0,0.002788302954286337,0.005313933361321688,0.003007703460752964,0.7313340306282043,0.002904814202338457,0.004672015551477671,0.01724374294281006,0.004882263019680977,0.6019220352172852,3.8441667556762695,0.001285745296627283,0.7008251547813416,0.0038677090778946877,,
7,5464,2500,1612628910,0.025857174769043922,0.025857174769043922,0.003909529186785221,0.003909529186785221,0.02626144327223301,0.0022058850154280663,0.022058852016925812,0,0,0.0025169129949063063,0.0052170720882713795,0.002735914196819067,0.7300037145614624,0.0026850150898098946,0.004519357345998287,0.017221154645085335,0.004725460894405842,0.5318834781646729,3.693391799926758,0.001078438013792038,0.687012791633606,0.003726343857124448,,
8,8109,3800,1612631555,0.024108977988362312,0.024108977988362312,0.003197892801836133,0.003197892801836133,0.024366555735468864,0.0013096752809360623,0.013096751645207405,0,0,0.002245052484795451,0.00488140108063817,0.002467624144628644,0.7419050931930542,0.002235626569017768,0.004402524325996637,0.017117232084274292,0.004622793756425381,0.5372007489204407,4.029382705688477,0.0010061742505058646,0.7342304587364197,0.0035606378223747015,,
9,8515,4000,1612631961,0.021877611055970192,0.021877611055970192,0.003621511161327362,0.003621511161327362,0.022261880338191986,0.0016316737746819854,0.016316739842295647,0,0,0.002205976750701666,0.004968021996319294,0.0024348513688892126,0.7629152536392212,0.002241057576611638,0.004455147311091423,0.01740184798836708,0.004682943224906921,0.5516100525856018,4.026799201965332,0.0010230964981019497,0.7593191862106323,0.003571630921214819,,
