,_runtime,_step,_timestamp,actor_grad_norm,actor_grad_norm_clipped,encoder_grad_norm,encoder_grad_norm_clipped,global_grad_norm,planner_grad_norm,planner_grad_norm_clipped,test,test2,train_act_with_enc_loss,train_act_with_plan_loss,train_loss,train_reg_loss,valid_act_with_enc_loss,valid_act_with_plan_loss,valid_gripper_loss,valid_loss,valid_max_position_loss,valid_max_rotation_loss,valid_position_loss,valid_reg_loss,valid_rotation_loss,z_enc,z_plan
0,1510,540,1613125528,28.373626708984375,28.373626708984375,1.7588163614273071,1.7588163614273071,0.22681455314159393,0.05684204027056694,0.05684204027056694,0,0,-0.963896632194519,-0.5556886792182922,-0.9331839680671692,3.0712766647338867,-0.8189731240272522,-0.4828229546546936,0.03325074911117554,-0.4523170590400696,14.015311241149902,20.07431411743164,0.009155387058854103,3.0505871772766113,0.02052321657538414,,
1,1675,620,1613125693,45.666404724121094,45.666404724121094,1.7896894216537476,1.7896894216537476,0.22681455314159393,0.04555901885032654,0.04555901885032654,0,0,-0.9582354426383972,-0.6328809857368469,-0.9285122156143188,2.9723215103149414,-1.0355976819992065,-0.6478925943374634,0.03316343203186989,-0.6193745136260986,14.334234237670898,17.36181640625,0.010299349203705788,2.8518059253692627,0.014789219945669174,,
2,1930,740,1613125948,45.69709014892578,45.69709014892578,1.6517608165740967,1.6517608165740967,0.22681455314159393,0.03334241360425949,0.03334241360425949,0,0,-1.2980878353118896,-0.7422777414321899,-1.2650738954544067,3.3014137744903564,-1.152752161026001,-0.39234107732772827,0.030667662620544434,-0.35570430755615234,12.575773239135742,15.970254898071289,0.006940619088709354,3.6636743545532227,0.015209952369332314,,
3,2848,1180,1613126866,72.77935028076172,72.77935028076172,2.9155402183532715,2.9155402183532715,0.22681455314159393,0.08041443675756454,0.08041443675756454,0,0,-1.4140660762786865,-0.8939235806465149,-1.3816007375717163,3.246523380279541,-1.5805234909057617,-0.9768071174621582,0.032633788883686066,-0.9450867176055908,10.958715438842773,16.05404281616211,0.004833787679672241,3.1720447540283203,0.011524721048772335,,
4,2934,1220,1613126952,88.4041519165039,88.4041519165039,3.0316572189331055,3.0316572189331055,0.22681455314159393,0.04249447584152222,0.04249447584152222,0,0,-1.397004246711731,-0.8123838305473328,-1.363547444343567,3.345689296722412,-1.1223764419555664,-0.5053412318229675,0.031668826937675476,-0.47513529658317566,11.97573471069336,18.70743751525879,0.006931500043720007,3.020594596862793,0.010704625397920609,,
5,3274,1380,1613127292,70.94351959228516,70.94351959228516,2.9216315746307373,2.9216315746307373,0.22681455314159393,0.036032505333423615,0.036032505333423615,0,0,-1.5493478775024414,-0.8814727067947388,-1.515716552734375,3.3631272315979004,-1.5745068788528442,-0.8538374900817871,0.023668143898248672,-0.8218996524810791,12.131086349487305,14.126983642578125,0.004978516139090061,3.1937766075134277,0.01001302246004343,,
6,4078,1760,1613128096,77.1270980834961,77.1270980834961,1.779012680053711,1.779012680053711,0.22681455314159393,0.06427477300167084,0.06427477300167084,0,0,-1.625693917274475,-0.869280219078064,-1.591604471206665,3.4089438915252686,-1.7754384279251099,-1.0285091400146484,0.022361651062965393,-0.9922822713851929,11.074817657470703,15.960796356201172,0.004558589309453964,3.622687339782715,0.008399948477745056,,
7,4374,1900,1613128392,75.98699188232422,75.98699188232422,3.0859174728393555,3.0859174728393555,0.22681455314159393,0.08237181603908539,0.08237181603908539,0,0,-1.6380869150161743,-1.0059762001037598,-1.602983832359314,3.510308027267456,-1.6882383823394775,-1.1091318130493164,0.02546972595155239,-1.0769070386886597,9.680083274841309,15.547950744628906,0.004084864631295204,3.2224745750427246,0.008777227252721786,,
8,5179,2280,1613129197,100.20360565185547,100.20360565185547,2.655348062515259,2.655348062515259,0.22681455314159393,0.14716896414756775,0.14716896414756775,0,0,-1.6233761310577393,-1.0428259372711182,-1.5874147415161133,3.5961174964904785,-1.353959321975708,-0.7856690883636475,0.02466893568634987,-0.75395667552948,8.919681549072266,13.06637954711914,0.005756193771958351,3.171236515045166,0.009116807952523232,,
9,6066,2700,1613130084,93.59416961669922,93.59416961669922,2.89308500289917,2.89308500289917,0.22681455314159393,0.05227029323577881,0.05227029323577881,0,0,-1.8557459115982056,-0.9427181482315063,-1.8191468715667725,3.6598949432373047,-1.9454998970031738,-1.0824873447418213,0.02224150486290455,-1.0462241172790527,9.386405944824219,16.635665893554688,0.0034126737155020237,3.6263279914855957,0.007604057900607586,,
10,6577,2940,1613130595,85.95133972167969,85.95133972167969,3.6007189750671387,3.6007189750671387,0.22681455314159393,0.09961912781000137,0.09961912781000137,0,0,-1.6248266696929932,-0.7746025323867798,-1.583768367767334,4.1058220863342285,-1.6848251819610596,-1.1908447742462158,0.03674954175949097,-1.1513720750808716,10.120498657226562,16.248462677001953,0.004039776977151632,3.947262763977051,0.008067207410931587,,
11,7214,3240,1613131232,90.60575866699219,90.60575866699219,2.0720648765563965,2.0720648765563965,0.22681455314159393,0.051273755729198456,0.051273755729198456,0,0,-2.0235371589660645,-1.0526573657989502,-1.9842290878295898,3.9308066368103027,-2.032081127166748,-0.9506155252456665,0.0231050755828619,-0.9100156426429749,9.284435272216797,15.716243743896484,0.0027578938752412796,4.059983253479004,0.007489591836929321,,
12,7628,3440,1613131646,88.37662506103516,88.37662506103516,2.771914482116699,2.771914482116699,0.22681455314159393,0.08125039935112,0.08125039935112,0,0,-1.9124685525894165,-1.1696722507476807,-1.8749021291732788,3.756650924682617,-1.842329502105713,-1.0617046356201172,0.02486943081021309,-1.021936058998108,9.150634765625,17.91114616394043,0.0028483804780989885,3.976858615875244,0.008007707074284554,,
13,8306,3760,1613132324,101.841552734375,101.841552734375,2.004646062850952,2.004646062850952,0.22681455314159393,0.07972457259893417,0.07972457259893417,0,0,-2.0764269828796387,-1.1954821348190308,-2.0364792346954346,3.9947731494903564,-2.022625207901001,-1.092284917831421,0.023531872779130936,-1.0526522397994995,8.044370651245117,13.011737823486328,0.0026966133154928684,3.963259696960449,0.007519031409174204,,
14,8944,4060,1613132962,95.11253356933594,95.11253356933594,1.8971672058105469,1.8971672058105469,0.22681455314159393,0.06651829183101654,0.06651829183101654,0,0,-2.027564525604248,-1.169365644454956,-1.9862171411514282,4.134729862213135,-1.7946438789367676,-1.0458002090454102,0.025804437696933746,-1.00607168674469,8.501922607421875,17.57659149169922,0.0031058723106980324,3.972860813140869,0.007617009803652763,,
15,9616,4380,1613133634,117.37995910644531,117.37995910644531,3.98179292678833,3.98179292678833,0.22681455314159393,0.15804150700569153,0.15804150700569153,0,0,-2.032728672027588,-1.0063408613204956,-1.9887425899505615,4.398604869842529,-2.0486810207366943,-1.050611972808838,0.02463964931666851,-1.0086774826049805,7.595450401306152,17.311634063720703,0.0025367126800119877,4.193436145782471,0.007946069352328777,,
16,10121,4620,1613134139,98.66720581054688,98.66720581054688,2.917865037918091,2.917865037918091,0.22681455314159393,0.08932630717754364,0.08932630717754364,0,0,-2.0364086627960205,-1.1264289617538452,-1.9935052394866943,4.290319919586182,-2.018770933151245,-1.0908308029174805,0.024572191759943962,-1.0499850511550903,7.9626054763793945,19.46520233154297,0.0029290183447301388,4.084569454193115,0.007707733195275068,,
17,12141,5540,1613136159,100.0531005859375,100.0531005859375,3.0002903938293457,3.0002903938293457,0.22681455314159393,0.07742245495319366,0.07742245495319366,0,0,-2.2037105560302734,-1.0955207347869873,-2.1593732833862305,4.4337382316589355,-2.0967702865600586,-0.968039870262146,0.0230393223464489,-0.9240120649337769,5.91157865524292,18.014232635498047,0.0022750606294721365,4.402782440185547,0.007000786252319813,,
18,12520,5720,1613136538,106.74725341796875,106.74725341796875,3.678150177001953,3.678150177001953,0.22681455314159393,0.0599399209022522,0.0599399209022522,0,0,-2.210920572280884,-1.114960789680481,-2.1654715538024902,4.544930458068848,-1.8611830472946167,-0.6708018779754639,0.02562050335109234,-0.6258413791656494,6.88803768157959,12.448582649230957,0.0024693284649401903,4.496053695678711,0.006965748965740204,,
